NomEntreprise;Annee;TotalActifFact;CapitauxPropres;TotalCAFact;TotalResultatNet;ROEMoyen;ROAMoyen;ROCEMoyen;TauxProfitabilite;RatioLiquiditeMoyen;TauxEndettementMoyen;VAR_ROA;Tendance_ROE;Couleur_Endettement;Couleur_Liquidite;Couleur_ROE
TechCorp Solutions;2021;185000000;92000000;220000000;28000000;0,304;0,151;0,212;0,127;1,85;0,42;0,012;Hausse;#22c55e;#22c55e;#22c55e
TechCorp Solutions;2022;210000000;108000000;245000000;33000000;0,306;0,157;0,225;0,135;1,92;0,40;0,006;Stable;#22c55e;#22c55e;#22c55e
TechCorp Solutions;2023;235000000;125000000;268000000;38000000;0,304;0,162;0,231;0,142;2,01;0,38;0,005;Stable;#22c55e;#22c55e;#22c55e
TechCorp Solutions;2024;258000000;142000000;294000000;44000000;0,310;0,171;0,242;0,150;2,12;0,36;0,009;Hausse;#22c55e;#22c55e;#22c55e
Boulangerie Centrale;2021;42000000;18000000;58000000;3200000;0,178;0,076;0,128;0,055;1,12;0,55;-0,008;Baisse;#f59e0b;#f59e0b;#f59e0b
Boulangerie Centrale;2022;45000000;19500000;62000000;3500000;0,179;0,078;0,132;0,056;1,15;0,54;0,002;Stable;#f59e0b;#f59e0b;#f59e0b
Boulangerie Centrale;2023;47000000;20500000;65000000;3800000;0,185;0,081;0,138;0,058;1,18;0,52;0,003;Hausse;#f59e0b;#f59e0b;#f59e0b
Boulangerie Centrale;2024;49000000;22000000;68000000;4100000;0,186;0,084;0,142;0,060;1,21;0,51;0,003;Hausse;#f59e0b;#22c55e;#f59e0b
ManuFrance Industries;2021;320000000;128000000;385000000;22000000;0,172;0,069;0,118;0,057;1,42;0,58;-0,005;Baisse;#f59e0b;#22c55e;#f59e0b
ManuFrance Industries;2022;335000000;134000000;395000000;24000000;0,179;0,072;0,125;0,061;1,45;0,57;0,003;Stable;#f59e0b;#22c55e;#f59e0b
ManuFrance Industries;2023;348000000;142000000;408000000;26500000;0,187;0,076;0,132;0,065;1,48;0,55;0,004;Hausse;#f59e0b;#22c55e;#f59e0b
ManuFrance Industries;2024;362000000;151000000;425000000;29000000;0,192;0,080;0,138;0,068;1,52;0,54;0,004;Hausse;#22c55e;#22c55e;#f59e0b
